word,frequency
the,19334
and,9619
ecuador,4921
noboa,4258
for,3643
president,3102
with,2746
his,2391
that,2288
gonzález,1757
election,1623
news,1545
this,1474
presidential,1450
daniel,1330
from,1329
was,1308
country,1282
have,1223
year,1197
more,1190
said,1159
trump,1153
crime,1102
will,1091
are,1058
violence,1033
she,1031
luisa,1009
now,997
