run_id,model,seed,target,n_train,n_test,accuracy,f1_macro,f1_weighted,mae_ordinal,kappa_qw,cv_f1_weighted_mean,cv_f1_weighted_std,best_params
20260122_220143,baseline_majority,0,confianza_3,153,39,0.358974358974359,0.1761006289308176,0.18964683115626513,0.9230769230769231,0.0,0.19021992431905888,0.0053301249207915345,{}
20260122_220143,baseline_majority,7,confianza_3,153,39,0.358974358974359,0.1761006289308176,0.18964683115626513,0.9230769230769231,0.0,0.19021992431905888,0.0053301249207915345,{}
20260122_220143,baseline_majority,13,confianza_3,153,39,0.358974358974359,0.1761006289308176,0.18964683115626513,0.9230769230769231,0.0,0.19021992431905888,0.0053301249207915345,{}
20260122_220143,baseline_majority,21,confianza_3,153,39,0.358974358974359,0.1761006289308176,0.18964683115626513,0.9230769230769231,0.0,0.19021992431905888,0.0053301249207915345,{}
20260122_220143,baseline_majority,42,confianza_3,153,39,0.358974358974359,0.1761006289308176,0.18964683115626513,0.9230769230769231,0.0,0.19021992431905888,0.0053301249207915345,{}
20260122_220143,random_forest,0,confianza_3,153,39,0.46153846153846156,0.46091954022988507,0.45923961096374893,0.6923076923076923,0.2808510638297873,0.4081102890362852,0.0764831480632277,"{""clf__max_depth"": 10, ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 2, ""clf__n_estimators"": 600}"
20260122_220143,random_forest,7,confianza_3,153,39,0.3076923076923077,0.2872053872053872,0.28831908831908837,0.8205128205128205,0.017985611510791477,0.34770782422605706,0.09854733134683562,"{""clf__max_depth"": 10, ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 5, ""clf__n_estimators"": 300}"
20260122_220143,random_forest,13,confianza_3,153,39,0.28205128205128205,0.2703366058906031,0.2719009601898802,0.9487179487179487,-0.011315417256011262,0.42831031984381873,0.08839183035330558,"{""clf__max_depth"": 10, ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 2, ""clf__n_estimators"": 300}"
20260122_220143,random_forest,21,confianza_3,153,39,0.41025641025641024,0.398989898989899,0.404040404040404,0.7692307692307693,0.0592105263157896,0.4429363809104755,0.11001664004674495,"{""clf__max_depth"": 10, ""clf__min_samples_leaf"": 2, ""clf__min_samples_split"": 5, ""clf__n_estimators"": 300}"
20260122_220143,random_forest,42,confianza_3,153,39,0.28205128205128205,0.28589743589743594,0.28481262327416174,0.8205128205128205,0.12162162162162149,0.4339240141067548,0.06030951412879825,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 5, ""clf__n_estimators"": 300}"
20260122_220143,svm_rbf,0,confianza_3,153,39,0.4358974358974359,0.4367047245607965,0.4368525796273461,0.6923076923076923,0.24489795918367352,0.3910156344097438,0.054721643710087836,"{""clf__C"": 1, ""clf__gamma"": 0.1}"
20260122_220143,svm_rbf,7,confianza_3,153,39,0.41025641025641024,0.386857825567503,0.4012315044573109,0.7948717948717948,-0.013266998341625147,0.37264596828288243,0.06875612817406505,"{""clf__C"": 1, ""clf__gamma"": ""scale""}"
20260122_220143,svm_rbf,13,confianza_3,153,39,0.28205128205128205,0.281329534662868,0.2793016290452188,0.9487179487179487,-0.031746031746031855,0.4788005906254849,0.1300455529450436,"{""clf__C"": 0.5, ""clf__gamma"": ""scale""}"
20260122_220143,svm_rbf,21,confianza_3,153,39,0.46153846153846156,0.4260710553814002,0.43961498271843097,0.6923076923076923,0.1026548672566373,0.4497700304993432,0.08345662615666477,"{""clf__C"": 1, ""clf__gamma"": 0.1}"
20260122_220143,svm_rbf,42,confianza_3,153,39,0.3333333333333333,0.3292282430213465,0.332575470506505,0.8717948717948718,-0.015625,0.43791257300636843,0.07140594793404054,"{""clf__C"": 1, ""clf__gamma"": 0.01}"
