rango_edad,n,indice_promedio,desviacion_estandar,error_estandar,interpretacion
18-24,348,3.291,1.159,0.062,Percepción de riesgo moderada
25-34,177,3.311,1.198,0.09,Percepción de riesgo moderada
35-44,24,3.778,0.931,0.19,Percepción de riesgo moderada
45-54,21,3.492,1.119,0.244,Percepción de riesgo moderada
55-64,5,3.2,1.483,0.663,Percepción de riesgo moderada
