run_id,model,seed,target,n_train,n_test,accuracy,f1_macro,f1_weighted,mae_ordinal,kappa_qw,auc_ovr,time_seconds,cv_f1_weighted_mean,cv_f1_weighted_std,best_params
20260511_223913,baseline_majority,0,confianza_idx_round,402,173,0.3583815028901734,0.10553191489361702,0.1891034313122617,0.953757225433526,0.0,0.5,0.18,0.0,0.0,{}
20260511_223913,baseline_majority,7,confianza_idx_round,402,173,0.3583815028901734,0.10553191489361702,0.1891034313122617,0.953757225433526,0.0,0.5,0.06,0.0,0.0,{}
20260511_223913,baseline_majority,13,confianza_idx_round,402,173,0.3583815028901734,0.10553191489361702,0.1891034313122617,0.953757225433526,0.0,0.5,0.05,0.0,0.0,{}
20260511_223913,baseline_majority,21,confianza_idx_round,402,173,0.3583815028901734,0.10553191489361702,0.1891034313122617,0.953757225433526,0.0,0.5,0.05,0.0,0.0,{}
20260511_223913,baseline_majority,42,confianza_idx_round,402,173,0.3583815028901734,0.10553191489361702,0.1891034313122617,0.953757225433526,0.0,0.5,0.05,0.0,0.0,{}
20260511_223913,baseline_stratified,0,confianza_idx_round,402,173,0.30057803468208094,0.1928733457863163,0.29893884253535186,1.0520231213872833,0.0044597899582793366,0.5075426222772251,0.09,0.0,0.0,{}
20260511_223913,baseline_stratified,7,confianza_idx_round,402,173,0.28901734104046245,0.2235445952622018,0.29424796637066997,1.0346820809248556,0.11600127326643106,0.5100622316106402,0.07,0.0,0.0,{}
20260511_223913,baseline_stratified,13,confianza_idx_round,402,173,0.3352601156069364,0.23236525402081137,0.33547770847386643,0.9826589595375722,0.09338643748034792,0.5348523549847705,0.07,0.0,0.0,{}
20260511_223913,baseline_stratified,21,confianza_idx_round,402,173,0.24277456647398843,0.15722819593787335,0.23953978218382468,1.092485549132948,0.000977534802049207,0.4604395215037694,0.07,0.0,0.0,{}
20260511_223913,baseline_stratified,42,confianza_idx_round,402,173,0.2543352601156069,0.1630227392913802,0.25576888394371877,1.0809248554913296,0.024144657072065034,0.4800000345124513,0.09,0.0,0.0,{}
20260511_223913,log_reg,0,confianza_idx_round,402,173,0.3236994219653179,0.3032802337133963,0.3249199596785016,1.0404624277456647,0.1191989632189584,0.5572595550903274,10.16,0.41139177982766945,0.0591067844000642,"{""clf__C"": 100}"
