source_type,platform,date,user,content,likes,shares,comments,source_url
social_media,x,2026-06-07 14:35:31+00:00,,"*PERÚ EN LA ENCRUCIJADA LATINOAMERICANA: KEIKO FUJOMORI O ROBERTO SÁNCHEZ*. José Francisco Mejía Flores| El universal - 07/06/2026 El 7 de junio de 2026, Perú elige a su nueva presidenta o presidente. Quien tutele la jefatura del Estado peruano deberá enfrentar los desafíos que se le presenten; uno de ellos, si concluye constitucionalmente su mandato. Las encuestas dan de plano un empate técnico. El electorado tienen dos opciones. Keiko Fujimori, impulsada por “Fuerza Popular” y Roberto Sánchez de “Juntos por el Perú”. La candidata y el candidato representan dos proyectos de nación con ADN contrapuesto. Fujimori, de 51 años, hija de Alberto Fujimori, presidente del Perú durante toda la década de 1990. Aun se recuerda cuando, el padre de Keiko, le ganó la elección al premio Nobel de literatura, Mario Vargas Llosa. Una plataforma política abiertamente neoliberal y derechista. En contrasentido ideológico, compite Roberto Sánchez, de 57 años. Heredero del castillismo. Fue Ministro de Turismo durante el gobierno de Pedro Castillo. Sin embargo las elecciones peruanas se alinean al radar de todo lo que acontece en Latinoamérica recientemente. Nuestro análisis parte desde que asumió por segunda ocasión la presidencia de Estados Unidos, Donald Trump, el 20 de enero de 2025. Desde última fecha el progresismo latinoamericano cedió espacios fundamentales en la región. En 2025 cayeron gobiernos progresistas en Honduras, Chile, Bolivia, y las elecciones del año pasado en Ecuador, refrendaron el proyecto derechista con más fuerza en ese país andino. A ello se suma el resultado adverso que obtuvo Iván Cepeda en Colombia el domingo pasado. Aunque se celebrará una segunda vuelta, Cepeda fue superado por el derechista Abelardo de las Espriella. El candidato colombiano, ganador en la primera vuelta, se asocia al estilo de gobierno de Nayib Bukele en El Salvador y Javier Milei en Argentina. Ciertamente el progresismo aún mantenía un equilibrio en América Latina antes del 20 de enero del 2025. Sin embargo a partir de los resultados del domingo pasado en Colombia y lo que pudiera suceder en Perú, de confirmarse un triunfo electoral de Keiko Fujimori, será evidente reconocer que hay una incidencia pendular, desde la llegada de Trump a su segunda presidencia, que ya estaría marcando una era con implementación de gobiernos derechistas en gran parte del subcontinente. Si hacemos un registro de los magros resultados que obtuvo el progresismo a partir de enero del 2025, nos remite al propio Roberto Sánchez, en la elección del pasado 12 de abril. Sánchez saltó del sexto lugar al segundo de forma sorpresiva. Sólo un triunfo de Sánchez y Cepeda en Perú y Colombia, respectivamente, podrían indicar un cambio en el ajedrez. Porque supuestos triunfos progresistas en Perú y Colombia, fortalecerían el bloque liderado por México y Brasil. Pareciera que en este momento no hay otra forma de observar la geopolítica regional. Ese supuesto lo sabremos hasta después del 21 de junio una vez que sepamos los resultados electorales de ambos países. Perú forma parte de la Alianza del Pacífico junto con Colombia, Chile y México y su presencia en la zona andina es clave, junto a Ecuador y Bolivia y su incidencia geográfica en el cono sur es peculiar debido a su siempre complicada frontera sur con Chile. Lo que resulte de los procesos electorales en Perú y Colombia, darán la pauta para determinar que hay un efecto “Trump” que esta impactando de forma especial en la región. Con jefas y jefes de Estado con una narrativa parecida. Por ejemplo, en febrero pasado en Costa Rica, ganó la elección, Laura Fernández, heredera directa del gobierno neoliberal de Rodrigo Chávez. La presidenta de Costa Rica, ya mencionó su intención de “bukelizar” las cárceles costarricenses. Si volvemos otra vez al segundo ascenso presidencial de Trump, en breve sabremos si a los triunfos, de Nasry Asfura en Honduras, Rodrigo Paz en Bolivia, Laura Fernández en Costa Rica, José Antonio Kast en Chile y Daniel Noboa en Ecuador, ahora se suman los de Abelardo de la Espriella y Keiko Fujimori. Ahora más que nunca México y Brasil, los dos países más poblados y las economías más robustas de la región tendrán que buscar estrategias para que el desbalance no sea más catastrófico para los gobiernos con una tendencia más social que intentan neutralizar al neoliberalismo galopante. ",0,0,0,https://x.com/Viborianus/status/2063630941017305263
social_media,x,2026-06-06 16:03:22+00:00,,"💻 | Nuestros funcionarios elaboran la base de datos para la Selección de los posibles Miembros de las Juntas Receptoras del Voto para las 🗳🇪🇨 . Este listado se consolida con información remitida por instituciones públicas y privadas, y la academia. ",0,0,0,https://x.com/CNE_StaElena/status/2063290661781041624
social_media,x,2026-04-29 15:43:29+00:00,," 🗳️ 📡 | Nuestra presidenta, , destaca que en el año 2025, el ejecutó 4️⃣ procesos electorales: ✅ (1era y 2da vuelta) ✅ ✅ ✅ (Inicio) ",0,0,0,https://x.com/cnegobec/status/2049514917271679409
social_media,x,2026-01-16 17:39:47+00:00,," | En el ámbito electoral, en las cumplimos el 100% de la planificación: levantamos un Registro Electoral de 13’736.315 electores y la participación fue del 82,03%. La ciudadanía, en un ambiente de paz y unos comicios transparentes, eligió: Un binomio presidencial, 151 legisladores y 5 parlamentarios andinos. ",0,0,0,https://x.com/DianaAtamaint/status/2012218236356444485
social_media,x,2026-01-16 17:27:50+00:00,," | Trabajamos en la gestión ordinaria y en procesos clave: (1.ª y 2.ª vuelta), , , e inicio del proceso en la parroquia rural Shuar Pastaza. Este trabajo ha sido desarrollado con planificación y orden. ",0,0,0,https://x.com/DianaAtamaint/status/2012215228344238288
social_media,x,2025-12-17 19:26:52+00:00,,"Piezas con IA -Sin impacto en la confianza en candidatos, excepto en vídeos de expresiones del candidato -Percepción de innovación pero peligroso Desinformación, y regulaciones en por Reporte 👇 ",0,0,0,https://x.com/alfredovelazco/status/2001373550155035012
social_media,x,2025-12-10 00:22:58+00:00,,"Como lo hicieron en ahora en usan para desinformar... de ""apoyando"" una postura electoral, publicado el 6 Dic en Archivo ",0,0,0,https://x.com/alfredovelazco/status/1998548963855876350
social_media,x,2025-11-17 00:36:14+00:00,,A esta hora de la noche sigue ganando el NO 🚨 en casi todas las preguntas. Golpe duro para el gobierno apenas iniciando un histórico mandato. ... El CNE ,0,0,0,https://x.com/EcVota/status/1990217380543299652
social_media,x,2025-11-17 00:20:12+00:00,,🔴 Con corte a las 19:15 estos son los resultados al momento en el referéndum y consulta popular en las Faltan por escrutar 32.449 actas ,0,0,0,https://x.com/verorivadeneira/status/1990213343034888463
social_media,x,2025-11-06 00:49:25+00:00,,"Misma prática en aplican en ... ha alertado de noticieros manipulados con de España, Perú, Uruguay y Bolivia contra el oficialismo ",0,0,0,https://x.com/alfredovelazco/status/1986234431838036441
