model,n_train,n_test,test_accuracy,test_f1_macro,test_f1_weighted,test_mae_ordinal,test_kappa_qw,cv_test_accuracy_mean,cv_test_f1_macro_mean,cv_test_f1_weighted_mean,cv_test_accuracy_std,cv_test_f1_macro_std,cv_test_f1_weighted_std,report_path,cm_path,model_path
random_forest,106,27,0.37037037037037035,0.23986663491307453,0.35955650816331935,0.9629629629629629,-0.03539823008849563,0.3385281385281385,0.2059798515897587,0.30664579813850046,0.1249395948574715,0.07856543529394677,0.11044601916385173,outputs\tables\report_random_forest_20260118_163330.txt,outputs\figures\cm_random_forest_20260118_163330.png,outputs\models\random_forest_20260118_163330.joblib
svm_rbf,106,27,0.3333333333333333,0.22738095238095238,0.33487654320987653,1.037037037037037,-0.02352941176470602,0.4329004329004329,0.31297213897213905,0.41031973798207566,0.17034508269763873,0.09233062250329674,0.1623445271400437,outputs\tables\report_svm_rbf_20260118_163330.txt,outputs\figures\cm_svm_rbf_20260118_163330.png,outputs\models\svm_rbf_20260118_163330.joblib
