run_id,model,seed,target,n_train,n_test,accuracy,f1_macro,f1_weighted,mae_ordinal,kappa_qw,cv_f1_weighted_mean,cv_f1_weighted_std,best_params
20260122_205959,baseline_majority,0,confianza_3,106,27,0.37037037037037035,0.1801801801801802,0.20020020020020018,0.9259259259259259,0.0,0.18082400358262424,0.018083778314575683,{}
20260122_205959,baseline_majority,7,confianza_3,106,27,0.37037037037037035,0.1801801801801802,0.20020020020020018,0.9259259259259259,0.0,0.18145991939095385,0.023930457817906366,{}
20260122_205959,baseline_majority,13,confianza_3,106,27,0.37037037037037035,0.1801801801801802,0.20020020020020018,0.9259259259259259,0.0,0.18082400358262424,0.018083778314575683,{}
20260122_205959,baseline_majority,21,confianza_3,106,27,0.37037037037037035,0.1801801801801802,0.20020020020020018,0.9259259259259259,0.0,0.18145991939095385,0.023930457817906366,{}
20260122_205959,baseline_majority,42,confianza_3,106,27,0.37037037037037035,0.1801801801801802,0.20020020020020018,0.9259259259259259,0.0,0.18145991939095385,0.023930457817906366,{}
20260122_205959,random_forest,0,confianza_3,106,27,0.48148148148148145,0.46262626262626266,0.46801346801346805,0.7407407407407407,0.24869565217391298,0.46217042217042215,0.06710128941643358,"{""clf__max_depth"": 10, ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 5, ""clf__n_estimators"": 300}"
20260122_205959,random_forest,7,confianza_3,106,27,0.4444444444444444,0.40232875015483716,0.4191750278706801,0.7407407407407407,0.13829787234042545,0.45843073317481264,0.0533329656415959,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 5, ""clf__n_estimators"": 600}"
20260122_205959,random_forest,13,confianza_3,106,27,0.4444444444444444,0.43280423280423275,0.44350382128159904,0.7037037037037037,0.1781285231116121,0.39362417481612527,0.09282647025382744,"{""clf__max_depth"": 10, ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 5, ""clf__n_estimators"": 600}"
20260122_205959,random_forest,21,confianza_3,106,27,0.4444444444444444,0.4253750317823544,0.43235302426759326,0.7037037037037037,0.19801980198019797,0.5192866128580415,0.05633935554117465,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 5, ""clf__n_estimators"": 300}"
20260122_205959,random_forest,42,confianza_3,106,27,0.48148148148148145,0.46340275240531,0.4700740199461428,0.6296296296296297,0.36045314109165805,0.5662152351227981,0.09616624991772654,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 5, ""clf__n_estimators"": 300}"
20260122_205959,svm_rbf,0,confianza_3,106,27,0.5185185185185185,0.5121136173767753,0.5178687459389214,0.6666666666666666,0.3102189781021898,0.4368846839435075,0.048883590017866574,"{""clf__C"": 1, ""clf__gamma"": ""scale""}"
20260122_205959,svm_rbf,7,confianza_3,106,27,0.4444444444444444,0.40232875015483716,0.4191750278706801,0.7407407407407407,0.13829787234042545,0.4529348102877515,0.08077290893659307,"{""clf__C"": 1, ""clf__gamma"": ""scale""}"
20260122_205959,svm_rbf,13,confianza_3,106,27,0.37037037037037035,0.3611111111111111,0.36604938271604937,0.7407407407407407,0.14180929095354522,0.4219479861131304,0.0751838517069411,"{""clf__C"": 1, ""clf__gamma"": 0.1}"
20260122_205959,svm_rbf,21,confianza_3,106,27,0.37037037037037035,0.3431480799901852,0.3542850911271963,0.8518518518518519,-0.030534351145037997,0.52742771848035,0.0382601846662136,"{""clf__C"": 3, ""clf__gamma"": ""scale""}"
20260122_205959,svm_rbf,42,confianza_3,106,27,0.4074074074074074,0.37334324290846027,0.3762060090562506,0.7777777777777778,0.23561643835616441,0.5439645881662688,0.09778196180965552,"{""clf__C"": 3, ""clf__gamma"": 0.01}"
