topic,top_terms
1,"seguridad, cocaína, nacional, internacional, diciembre, colombia, dos, noticias, autoridades, droga"
2,"mayo, guayaquil, vía, quito, seguridad, noticias, personas, com, tránsito, lluvias"
3,"noticias, latina, mayo, años, tras, día, así, daniel, tren, lunes"
4,"resultados, daniel, vuelta, electoral, segunda, minuto, violencia, oficial, conteo, nacional"
5,"mayo, fecha, abril, compartir, ver, nacional, martes, miércoles, gobierno, islas"
