topic,top_terms
1,"electoral, vuelta, daniel, segunda, votos, resultados, nacional, presidenciales, candidata, primera"
2,"daniel, publicidad, hace, violencia, años, política, electoral, vuelta, noticias, podcast"
3,"enero, venezuela, noticias, trump, latina, política, américa, vuelta, rodríguez, unidos"
4,"vuelta, segunda, electoral, unidos, daniel, nueva, leer, seguridad, domingo, abril"
5,"vuelta, electoral, segunda, debate, daniel, información, gobierno, actualidad, lez, tras"
