word,frequency
ecuador,1183
mayo,529
noboa,384
país,337
seguridad,313
nacional,284
noticias,277
abril,255
guayaquil,244
daniel,243
presidente,220
gobierno,212
tras,212
gonzález,195
elecciones,191
internacional,173
quito,167
dos,167
resultados,165
publicidad,164
años,162
personas,156
según,154
unidos,154
marzo,153
luisa,149
violencia,144
nueva,137
mundo,136
vía,135
