topic,top_terms
1,"publicidad, hace, último, noticias, hora, guayaquil, nacional, google, tras, universo"
2,"diciembre, seguridad, lez, noticias, dos, heridos, nacional, ministerio, ecuavisa, daniel"
3,"electoral, vuelta, segunda, debate, daniel, abril, resultados, nacional, voto, candidatos"
4,"teleamazonas, últimas, compartir, notificaciones, noticias, pic, twitter, quito, com, suscríbete"
5,"daniel, refuerzos, años, historia, primera, equipo, real, hace, deportes, emergencia"
