word,frequency
ecuador,719
debate,376
noboa,326
electoral,263
daniel,232
nacional,205
vuelta,199
segunda,191
luisa,187
presidencial,186
gonzález,178
seguridad,163
elecciones,156
país,155
presidente,151
abril,139
noticias,130
gasolina,129
marzo,126
puede,111
diciembre,110
asamblea,108
política,104
cne,102
mayo,99
guayaquil,93
gobierno,88
candidatos,87
caso,83
moreno,81
