topic,top_terms
1,"debate, diciembre, segunda, vuelta, noticias, daniel, electoral, seguridad, publicidad, marzo"
2,"dólar, dolarización, moneda, asamblea, electoral, nacional, central, oficial, daniel, banco"
3,"moreno, comunicación, guayaquil, maría, debate, gasolina, años, daniel, ley, caso"
4,"extranjeras, nacional, gasolina, bases, militares, asamblea, seguridad, mayo, debate, reforma"
5,"debate, electoral, vuelta, segunda, abril, daniel, domingo, nacional, voto, gasolina"
