topic,top_terms
1,"trump, cnn, government, world, military, security, forces, international, rights, people"
2,"npr, violence, gonzález, search, drug, kahn, close, carrie, sunday, gangs"
3,"gonzález, election, crime, quito, voters, years, correa, national, runoff, vote"
4,"election, advertisement, gonzalez, gonzález, luisa, political, campaign, correa, rio, africa"
5,"new, mexico, com, free, climate, share, mexican, energy, contact, oil"
