word,frequency
ecuador,3406
noboa,2396
president,1931
news,986
presidential,926
election,870
country,862
gonzález,854
violence,773
daniel,759
trump,718
year,705
npr,689
said,687
drug,670
crime,642
luisa,584
gangs,540
sunday,504
military,492
close,491
security,490
political,486
candidate,473
gonzalez,466
years,449
search,447
quito,441
kahn,439
april,437
