run_id,model,variant,n_classes,accuracy,f1_weighted,f1_macro,mae_ordinal,kappa_qw,notes,family
20260122_222135,ordinal_logit,ordinal_logit_5niveles,5,0.4871794871794871,0.4559735136658213,0.2898351648351648,0.717948717948718,0.2334152334152334,single split (seed=42),statsmodels
20260122_222135,ordinal_logit,ordinal_logit_3clases,3,0.4102564102564102,0.4140022296544035,0.4092753623188406,0.717948717948718,0.2108626198083066,single split (seed=42),statsmodels
20260122_222135,svm_rbf,confianza_3,3,0.3846153846153846,0.3779152332709623,0.3720382766387828,0.8,0.0573829592705307,mean over seeds,sklearn
20260122_222135,random_forest,confianza_3,3,0.3487179487179487,0.3416625373574566,0.340669773642642,0.8102564102564103,0.0936706812043957,mean over seeds,sklearn
20260122_222135,baseline_majority,confianza_3,3,0.358974358974359,0.1896468311562651,0.1761006289308176,0.9230769230769232,0.0,mean over seeds,sklearn
