Variable,Etiqueta,Tipo,Opciones,Valor_por_defecto,Grupo,Descripcion,Peso
"Durante la campaña presidencial entre Luisa González y Daniel Noboa, ¿con qué frecuencia vio o recibió contenido político en redes sociales o plataformas digitales?",Frecuencia de exposición política digital,categórica,Nunca|Rara vez|Una vez al día|Varias veces a la semana|Varias veces al día,Varias veces al día,Exposición digital,Frecuencia con la que se recibió contenido político durante la campaña.,0.13265998186477035
Percepción sobre el uso de IA en campañas políticas [Considero que el uso de inteligencia artificial en campañas políticas debería estar regulado por la ley.],Necesidad de regulación,categórica,Totalmente en desacuerdo|En desacuerdo|Ni de acuerdo ni en desacuerdo|De acuerdo|Totalmente de acuerdo,Totalmente de acuerdo,Gobernanza de IA,Valoración de la necesidad de regulación legal del uso de IA en campañas.,0.08440681280360272
identifica_ia,Identificación de contenido con IA,categórica,"A veces|No, me resulta difícil distinguirlo|Sí, fácilmente",A veces,Alfabetización mediática,Capacidad declarada para distinguir contenido generado o alterado con IA.,0.07081932708562516
percibe_automatizacion,Percepción de automatización,categórica,"No|Sí, lo he notado claramente|Tal vez, pero no estoy seguro/a","Sí, lo he notado claramente",Exposición digital,Percepción de uso de automatización en contenidos de campaña.,0.05046398154817823
Percepción sobre el uso de IA en campañas políticas [Los partidos pueden manipular mi opinión mediante mensajes personalizados creados con IA.],Riesgo de manipulación personalizada,categórica,Totalmente en desacuerdo|En desacuerdo|Ni de acuerdo ni en desacuerdo|De acuerdo|Totalmente de acuerdo,De acuerdo,Riesgo percibido,Percepción de posible manipulación mediante mensajes personalizados.,0.048120401448891695
conoce_ia,Conocimiento declarado de IA,categórica,No|No estoy seguro/a|Sí,Sí,Conocimiento de IA,Nivel declarado de familiaridad con la inteligencia artificial.,0.010733671240191379
