run_id,model,seed,target,n_train,n_test,accuracy,f1_macro,f1_weighted,mae_ordinal,kappa_qw,auc_ovr,time_seconds,cv_f1_weighted_mean,cv_f1_weighted_std,best_params
20260719_234125,baseline_majority,0,confianza_3,402,173,0.42196531791907516,0.1978319783197832,0.2504347008788007,0.8670520231213873,1.1102230246251565e-16,0.5,0.15,0.0,0.0,{}
20260719_234125,baseline_majority,7,confianza_3,402,173,0.42196531791907516,0.1978319783197832,0.2504347008788007,0.8670520231213873,1.1102230246251565e-16,0.5,0.08,0.0,0.0,{}
20260719_234125,baseline_majority,13,confianza_3,402,173,0.42196531791907516,0.1978319783197832,0.2504347008788007,0.8670520231213873,1.1102230246251565e-16,0.5,0.07,0.0,0.0,{}
20260719_234125,baseline_majority,21,confianza_3,402,173,0.42196531791907516,0.1978319783197832,0.2504347008788007,0.8670520231213873,1.1102230246251565e-16,0.5,0.06,0.0,0.0,{}
20260719_234125,baseline_majority,42,confianza_3,402,173,0.42196531791907516,0.1978319783197832,0.2504347008788007,0.8670520231213873,1.1102230246251565e-16,0.5,0.05,0.0,0.0,{}
20260719_234125,baseline_stratified,0,confianza_3,402,173,0.32947976878612717,0.3205926331769567,0.32931591674701255,0.9132947976878613,-0.03942598937385178,0.48731707317073175,0.08,0.0,0.0,{}
20260719_234125,baseline_stratified,7,confianza_3,402,173,0.35260115606936415,0.3385644686917672,0.35143511991873955,0.8439306358381503,0.11527983558763089,0.5054471544715446,0.04,0.0,0.0,{}
20260719_234125,baseline_stratified,13,confianza_3,402,173,0.32947976878612717,0.3212702138758477,0.33098817697449956,0.9479768786127167,-0.052311435523114236,0.49012195121951224,0.05,0.0,0.0,{}
20260719_234125,baseline_stratified,21,confianza_3,402,173,0.3236994219653179,0.3078514810179391,0.3218750798806793,0.9132947976878613,-0.020297832604315058,0.4813821138211382,0.04,0.0,0.0,{}
20260719_234125,baseline_stratified,42,confianza_3,402,173,0.3815028901734104,0.35575315773335575,0.3757937821349943,0.8497109826589595,0.08105768105768096,0.5257723577235773,0.04,0.0,0.0,{}
20260719_234125,log_reg,0,confianza_3,402,173,0.3699421965317919,0.3668613668613669,0.3733124345841109,0.861271676300578,0.053967571698068095,0.5442299920109028,3.76,0.4636733449385824,0.038057220633921536,"{""clf__C"": 0.1}"
20260719_234125,log_reg,7,confianza_3,402,173,0.43352601156069365,0.41359262787834217,0.43095896522816424,0.7341040462427746,0.17933793174183954,0.6001226561398562,3.62,0.44844700320746045,0.0504842362262198,"{""clf__C"": 0.01}"
20260719_234125,log_reg,13,confianza_3,402,173,0.4046242774566474,0.39503825842728996,0.4099848587002212,0.7803468208092486,0.17927384556702508,0.5589773955543023,3.59,0.4781358686050757,0.019409243711929192,"{""clf__C"": 100}"
20260719_234125,log_reg,21,confianza_3,402,173,0.4046242774566474,0.3963056446172621,0.4076655414068915,0.7976878612716763,0.14098830269754115,0.5923657126744677,3.58,0.4527061697829765,0.05556210697463593,"{""clf__C"": 100}"
20260719_234125,log_reg,42,confianza_3,402,173,0.3352601156069364,0.31092016730314603,0.32924010356060535,0.9132947976878613,-0.007590585764071234,0.5511696978241459,3.35,0.47771452711039775,0.03356301956766831,"{""clf__C"": 0.01}"
20260719_234125,random_forest,0,confianza_3,402,173,0.5086705202312138,0.4813802767559993,0.49576725523132015,0.6878612716763006,0.23521902555495144,0.6456595704685371,318.66,0.5365651625840642,0.027921594914972182,"{""clf__n_estimators"": 600, ""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 1, ""clf__max_samples"": 0.8, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 30, ""clf__class_weight"": ""balanced"", ""clf__bootstrap"": true}"
20260719_234125,random_forest,7,confianza_3,402,173,0.5491329479768786,0.5290910639747849,0.5405636170523924,0.6473988439306358,0.26643109540636045,0.6942826260632547,366.03,0.47101204345449066,0.027267193978126464,"{""clf__n_estimators"": 600, ""clf__min_samples_split"": 5, ""clf__min_samples_leaf"": 1, ""clf__max_samples"": 0.8, ""clf__max_features"": null, ""clf__max_depth"": null, ""clf__class_weight"": ""balanced"", ""clf__bootstrap"": true}"
20260719_234125,random_forest,13,confianza_3,402,173,0.4508670520231214,0.43361575622445186,0.44864564605202956,0.7630057803468208,0.16896744706650502,0.6629207199586447,307.22,0.5573065134655151,0.07821383919123441,"{""clf__n_estimators"": 600, ""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 2, ""clf__max_samples"": null, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 10, ""clf__class_weight"": ""balanced"", ""clf__bootstrap"": false}"
20260719_234125,random_forest,21,confianza_3,402,173,0.5086705202312138,0.4776464407670082,0.49785229824585375,0.6589595375722543,0.29518214979392676,0.7055571220452089,192.03,0.4879643481349544,0.06258606900467154,"{""clf__n_estimators"": 200, ""clf__min_samples_split"": 5, ""clf__min_samples_leaf"": 4, ""clf__max_samples"": null, ""clf__max_features"": ""log2"", ""clf__max_depth"": 30, ""clf__class_weight"": ""balanced"", ""clf__bootstrap"": false}"
