run_id,model,seed,target,n_train,n_test,accuracy,f1_macro,f1_weighted,mae_ordinal,kappa_qw,cv_f1_weighted_mean,cv_f1_weighted_std,best_params
20260130_212831,baseline_majority,0,confianza_3,153,39,0.358974358974359,0.1761006289308176,0.18964683115626513,0.9230769230769231,0.0,0.0,0.0,{}
20260130_212831,baseline_majority,7,confianza_3,153,39,0.358974358974359,0.1761006289308176,0.18964683115626513,0.9230769230769231,0.0,0.0,0.0,{}
20260130_212831,baseline_majority,13,confianza_3,153,39,0.358974358974359,0.1761006289308176,0.18964683115626513,0.9230769230769231,0.0,0.0,0.0,{}
20260130_212831,baseline_majority,21,confianza_3,153,39,0.358974358974359,0.1761006289308176,0.18964683115626513,0.9230769230769231,0.0,0.0,0.0,{}
20260130_212831,baseline_majority,42,confianza_3,153,39,0.358974358974359,0.1761006289308176,0.18964683115626513,0.9230769230769231,0.0,0.0,0.0,{}
20260130_212831,baseline_stratified,0,confianza_3,153,39,0.28205128205128205,0.2819047619047619,0.2816117216117216,0.9487179487179487,-0.0199714693295292,0.0,0.0,{}
20260130_212831,baseline_stratified,7,confianza_3,153,39,0.23076923076923078,0.22857142857142856,0.22417582417582416,1.0512820512820513,-0.16833095577746082,0.0,0.0,{}
20260130_212831,baseline_stratified,13,confianza_3,153,39,0.41025641025641024,0.40952380952380946,0.40805860805860805,0.7435897435897436,0.23965763195435086,0.0,0.0,{}
20260130_212831,baseline_stratified,21,confianza_3,153,39,0.20512820512820512,0.20476190476190473,0.20402930402930403,1.0512820512820513,-0.13124108416547786,0.0,0.0,{}
20260130_212831,baseline_stratified,42,confianza_3,153,39,0.4358974358974359,0.4361904761904762,0.4367765567765568,0.7948717948717948,0.09129814550641935,0.0,0.0,{}
20260130_212831,random_forest,0,confianza_3,153,39,0.48717948717948717,0.4917874396135266,0.49371980676328503,0.6410256410256411,0.35825105782792654,0.4521549988571686,0.09288517101370376,"{""clf__class_weight"": ""balanced_subsample"", ""clf__max_depth"": 8, ""clf__min_samples_leaf"": 2, ""clf__min_samples_split"": 2, ""clf__n_estimators"": 400}"
20260130_212831,random_forest,7,confianza_3,153,39,0.358974358974359,0.34927536231884054,0.3530657748049053,0.7435897435897436,0.13953488372093026,0.35504164829567897,0.07564721736894099,"{""clf__class_weight"": ""balanced_subsample"", ""clf__max_depth"": null, ""clf__min_samples_leaf"": 2, ""clf__min_samples_split"": 5, ""clf__n_estimators"": 400}"
20260130_212831,random_forest,13,confianza_3,153,39,0.2564102564102564,0.25583362165071305,0.2577616517185194,1.0512820512820513,-0.18181818181818188,0.4712751570752257,0.07244451853651986,"{""clf__class_weight"": ""balanced_subsample"", ""clf__max_depth"": null, ""clf__min_samples_leaf"": 4, ""clf__min_samples_split"": 10, ""clf__n_estimators"": 400}"
20260130_212831,random_forest,21,confianza_3,153,39,0.4358974358974359,0.41991341991341996,0.42657342657342656,0.7435897435897436,0.06365159128978237,0.44575896060926395,0.092088917656438,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": null, ""clf__min_samples_leaf"": 2, ""clf__min_samples_split"": 5, ""clf__n_estimators"": 200}"
20260130_212831,random_forest,42,confianza_3,153,39,0.358974358974359,0.3556471824723098,0.3587131600713943,0.7435897435897436,0.1969949916527547,0.43348212077067183,0.049815516628681736,"{""clf__class_weight"": ""balanced_subsample"", ""clf__max_depth"": 8, ""clf__min_samples_leaf"": 4, ""clf__min_samples_split"": 10, ""clf__n_estimators"": 400}"
20260130_212831,svm_rbf,0,confianza_3,153,39,0.48717948717948717,0.48363721365123885,0.487395260186284,0.6410256410256411,0.26016260162601623,0.3880022855283972,0.053799901448562594,"{""clf__C"": 1, ""clf__gamma"": 0.1}"
20260130_212831,svm_rbf,7,confianza_3,153,39,0.358974358974359,0.34379509379509376,0.35558885558885556,0.7948717948717948,0.0444444444444444,0.40619368225187313,0.041497856658063395,"{""clf__C"": 10, ""clf__gamma"": 0.001}"
20260130_212831,svm_rbf,13,confianza_3,153,39,0.23076923076923078,0.22839506172839505,0.22317188983855651,1.0,-0.09777777777777774,0.4949676877769198,0.13003782158731272,"{""clf__C"": 10, ""clf__gamma"": 0.001}"
20260130_212831,svm_rbf,21,confianza_3,153,39,0.46153846153846156,0.4222689075630252,0.4355203619909502,0.717948717948718,0.014440433212996373,0.46983288157481706,0.06980095964200538,"{""clf__C"": 1, ""clf__gamma"": 0.1}"
20260130_212831,svm_rbf,42,confianza_3,153,39,0.38461538461538464,0.38743194540295994,0.38378958668813745,0.7948717948717948,0.11229135053110773,0.4315792051653301,0.09700141550192433,"{""clf__C"": 10, ""clf__gamma"": 0.001}"
