Modelo,Configuración,AUC_OvR,Accuracy,F1_ponderado,QWK,F1_macro,MAE_ordinal,n,n_features,analysis_mode
Logistic Regression,5 niveles,0.5864122177811076,0.345664739884393,0.3523171242184576,0.2268118361226722,0.3011456629095468,0.9676300578034682,575,27,sensitivity_without_overlap
Random Forest,5 niveles,0.6727958266428999,0.4520231213872832,0.4410299254392736,0.2497788084221123,0.3664259569605054,0.7919075144508672,575,27,sensitivity_without_overlap
SVM,5 niveles,0.6789348897232965,0.4716763005780347,0.4606607665324977,0.2501341344948787,0.3998656099204825,0.7572254335260116,575,27,sensitivity_without_overlap
Gradient Boosting,5 niveles,0.6383647669522002,0.4173410404624277,0.409664834303277,0.2626271539718458,0.3574662677286869,0.7953757225433525,575,27,sensitivity_without_overlap
Logistic Regression,3 niveles,0.569373090840735,0.3895953757225434,0.3902323806959986,0.1091954131880805,0.3765436130174814,0.8173410404624277,575,27,sensitivity_without_overlap
Random Forest,3 niveles,0.6703049955355045,0.5040462427745666,0.4951325793713775,0.2224716922113145,0.4800310940772509,0.6971098265895954,575,27,sensitivity_without_overlap
SVM,3 niveles,0.6694038253677335,0.492485549132948,0.4861278665548778,0.2273794383789185,0.4711880078110628,0.707514450867052,575,27,sensitivity_without_overlap
Gradient Boosting,3 niveles,0.653219606184501,0.476300578034682,0.4682201333910751,0.2126005241606185,0.4531037304205402,0.7190751445086706,575,27,sensitivity_without_overlap
